,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
0,0,thor: love and thunder,1,2,10,15
1,1,shamshera,1,2,18,51
2,2,everything everywhere all at once,1,2,10,15
3,3,jurassic world dominion,1,2,6,5
4,4,shazam! fury of the gods,1,2,10,15
5,5,bullet train,1,9,14,26
6,6,dc league of super-pets,4,1,3,23
7,7,dungeons &amp; dragons: honor among thieves,1,2,2,9
8,8,doctor strange in the multiverse of madness,1,2,2,9
9,9,john wick: chapter 4,1,3,14,0
10,10,prey,1,14,11,93
11,11,ant-man and the wasp: quantumania,1,2,10,15
12,12,black adam,1,0,6,87
13,13,the batman,1,3,18,14
14,14,the northman,1,2,18,51
15,15,spider-man: no way home,1,2,2,9
16,16,guardians of the galaxy vol. 3,1,2,10,15
17,17,samaritan,1,14,2,17
18,18,the lost city,1,2,10,15
19,19,black panther,1,2,6,5
20,20,lightyear,4,1,3,23
21,21,the man from toronto,1,2,10,15
22,22,paws of fury: the legend of hank,4,1,10,7
23,23,no time to die,1,2,14,43
24,24,the unbearable weight of massive talent,1,9,4,24
25,25,avengers: endgame,1,2,18,51
26,26,spiderhead,1,3,18,14
27,27,fantastic beasts: the secrets of dumbledore,1,2,2,9
28,28,blade runner 2049,1,14,0,49
29,29,the princess,1,14,2,17
30,30,dune: part one,1,2,18,51
31,31,jurassic park,1,2,6,5
32,32,john wick,1,3,14,0
33,33,eternals,1,2,2,9
34,34,thor: ragnarok,1,2,10,15
35,35,heat,1,3,18,14
36,36,deadpool,1,2,10,15
37,37,the dark knight,1,3,18,14
38,38,morbius,1,2,11,52
39,39,thirteen lives,1,2,12,52
40,40,the lord of the rings: the fellowship of the ring,1,2,18,51
41,41,inception,1,2,6,5
42,42,shazam!,1,2,10,15
43,43,avatar: the way of water,1,2,6,5
44,44,resident evil: welcome to raccoon city,1,10,6,20
45,45,free guy,1,2,10,15
46,46,ambulance,1,3,18,14
47,47,terminator: dark fate,1,2,6,5
48,48,expend4bles,1,2,14,43
49,49,deadpool 2,1,2,10,15
50,50,tenet,1,5,14,58
51,51,fantastic four,1,2,6,5
52,52,the gentlemen,1,9,4,24
53,53,avengers: infinity war,1,2,6,5
54,54,shang-chi and the legend of the ten rings,1,2,2,9
55,55,the king's man,1,2,14,43
56,56,nobody,1,3,18,14
57,57,blade,1,2,2,9
58,58,sonic the hedgehog 2,1,2,10,15
59,59,thor,1,2,2,9
60,60,guardians of the galaxy,1,2,10,15
61,61,gladiator,1,2,18,51
62,62,wrath of man,1,3,14,0
63,63,john wick: chapter 3 - parabellum,1,3,14,0
64,64,the adam project,1,2,10,15
65,65,logan,1,14,6,13
66,66,the hunger games,1,2,6,5
67,67,star wars,1,2,2,9
68,68,the marvels,1,2,2,9
69,69,pirates of the caribbean: the curse of the black pearl,1,2,2,9
70,70,the suicide squad,1,2,10,15
71,71,ek villain returns,1,13,14,39
72,72,12 strong,1,14,8,40
73,73,mad max: fury road,1,2,6,5
74,74,jurassic world: fallen kingdom,1,2,6,5
75,75,jurassic world,1,2,6,5
76,76,kingsman: the secret service,1,2,10,15
77,77,chips,1,9,4,24
78,78,day shift,1,9,2,86
79,79,avatar,1,2,2,9
80,80,the lord of the rings: the return of the king,1,2,18,51
81,81,john wick: chapter 2,1,3,14,0
82,82,mission: impossible - fallout,1,2,14,43
83,83,memory,1,3,14,0
